"customer_id";"customer_name";"date";"invoice_number";"line_number";"store_address";"product_id";"product_articl";"product_name";"quantity";"price_invoice";"line_total";"comment";"contract_name";"doc_type"
"000000333";"ТОЛІМАН ПЛЮС ТОВ";2026-08-17;"РБН00008425";1.00;"м. Харків, вул. Плиткова, буд. 12";"000000143";"49907";"Винний напій аром. газ. Bellini a base divino Frizzante ( біл., сух) ж/б 0,2л";360.00;60.00;21600.00;"0674264722 Тімченко Андрій Петрович";"Вино";"sale"
"000000333";"ТОЛІМАН ПЛЮС ТОВ";2026-08-17;"РБН00008423";4.00;"м. Харків, вул. Плиткова, буд. 12";"000000082";"24622";"Вино Ігристе LA Borghesia Prosecco Spumante Brut 0,75л";42.00;285.00;11970.00;"0674264722 Тімченко Андрій Петрович";"Вино";"sale"
"000000333";"ТОЛІМАН ПЛЮС ТОВ";2026-08-17;"РБН00008423";5.00;"м. Харків, вул. Плиткова, буд. 12";"000000083";"24623";"Вино Ігристе Castelbprgo Lambrusco Dell'enilia (біл. нап./сол.) 0,75л";78.00;136.20;10623.60;"0674264722 Тімченко Андрій Петрович";"Вино";"sale"
"000000333";"ТОЛІМАН ПЛЮС ТОВ";2026-08-17;"РБН00008423";6.00;"м. Харків, вул. Плиткова, буд. 12";"000000054";"23761";"Напій Fragolino ігр. на основі вина біле 0,75л";60.00;130.80;7848.00;"0674264722 Тімченко Андрій Петрович";"Вино";"sale"
"000000333";"ТОЛІМАН ПЛЮС ТОВ";2026-08-17;"РБН00008423";7.00;"м. Харків, вул. Плиткова, буд. 12";"000000053";"23760";"Напій Fragolino ігр. на основі вина червоне 0,75л";24.00;130.80;3139.20;"0674264722 Тімченко Андрій Петрович";"Вино";"sale"
"000000333";"ТОЛІМАН ПЛЮС ТОВ";2026-08-17;"РБН00008423";1.00;"м. Харків, вул. Плиткова, буд. 12";"000000030";"36402";"Вино Cavalli Neri Bianco Italiano Semi-Dolce (біл.пол/сол) 0,75л";6.00;124.20;745.20;"0674264722 Тімченко Андрій Петрович";"Вино";"sale"
"000000333";"ТОЛІМАН ПЛЮС ТОВ";2026-08-17;"РБН00008423";3.00;"м. Харків, вул. Плиткова, буд. 12";"000000026";"36405";"Вино Cavalli Neri Pinot Grigio IGT (біл.сухе) 0,75л";6.00;142.20;853.20;"0674264722 Тімченко Андрій Петрович";"Вино";"sale"
"000000333";"ТОЛІМАН ПЛЮС ТОВ";2026-08-17;"РБН00008423";2.00;"м. Харків, вул. Плиткова, буд. 12";"000000031";"36401";"Вино Cavalli Neri Rosso Italiano Semi-Dolce (черв.пол/сол) 0,75л";12.00;124.20;1490.40;"0674264722 Тімченко Андрій Петрович";"Вино";"sale"
"000000333";"ТОЛІМАН ПЛЮС ТОВ";2026-08-17;"РБН00008423";8.00;"м. Харків, вул. Плиткова, буд. 12";"000000084";"22719";"Вино Ігристе Cavalli Neri Bianco Spumante Brut 0,75л";12.00;180.00;2160.00;"0674264722 Тімченко Андрій Петрович";"Вино";"sale"
"000000333";"ТОЛІМАН ПЛЮС ТОВ";2026-08-17;"РБН00008423";11.00;"м. Харків, вул. Плиткова, буд. 12";"000001023";"45991";"Вино Ігристе SORBELLO SPRITZ 5,5 % 0,75л";6.00;151.80;910.80;"0674264722 Тімченко Андрій Петрович";"Вино";"sale"
"000000333";"ТОЛІМАН ПЛЮС ТОВ";2026-08-17;"РБН00008423";9.00;"м. Харків, вул. Плиткова, буд. 12";"000001081";"46213";"Вино Ігристе CAVA Los Monteros Rosado Brut (рожеве, сухе) 0,75л";12.00;260.40;3124.80;"0674264722 Тімченко Андрій Петрович";"Вино";"sale"
"000000333";"ТОЛІМАН ПЛЮС ТОВ";2026-08-17;"РБН00008423";10.00;"м. Харків, вул. Плиткова, буд. 12";"000001333";"49065";"Вино Fattoria Viticcio CHIANTI CLASSICO Riserva 2019 (ч,сух) 0,75л";12.00;642.00;7704.00;"0674264722 Тімченко Андрій Петрович";"Вино";"sale"
"000000333";"ТОЛІМАН ПЛЮС ТОВ";2026-08-17;"РБН00008424";6.00;"м.Луцьк, вул. Карбишева, 1";"000001081";"46213";"Вино Ігристе CAVA Los Monteros Rosado Brut (рожеве, сухе) 0,75л";6.00;260.40;1562.40;"Чуйкін Сергій 095 524 50 01, 067 934 76 96";"Вино";"sale"
"000000333";"ТОЛІМАН ПЛЮС ТОВ";2026-08-17;"РБН00008424";7.00;"м.Луцьк, вул. Карбишева, 1";"000001265";"48555";"Вино BORGHESIA CHIANTI DOCG (черв.сухе) 0,75л";12.00;196.20;2354.40;"Чуйкін Сергій 095 524 50 01, 067 934 76 96";"Вино";"sale"
"000000333";"ТОЛІМАН ПЛЮС ТОВ";2026-08-17;"РБН00008424";5.00;"м.Луцьк, вул. Карбишева, 1";"000000084";"22719";"Вино Ігристе Cavalli Neri Bianco Spumante Brut 0,75л";6.00;180.00;1080.00;"Чуйкін Сергій 095 524 50 01, 067 934 76 96";"Вино";"sale"
"000000333";"ТОЛІМАН ПЛЮС ТОВ";2026-08-17;"РБН00008424";1.00;"м.Луцьк, вул. Карбишева, 1";"000000031";"36401";"Вино Cavalli Neri Rosso Italiano Semi-Dolce (черв.пол/сол) 0,75л";6.00;124.20;745.20;"Чуйкін Сергій 095 524 50 01, 067 934 76 96";"Вино";"sale"
"000000333";"ТОЛІМАН ПЛЮС ТОВ";2026-08-17;"РБН00008424";2.00;"м.Луцьк, вул. Карбишева, 1";"000000083";"24623";"Вино Ігристе Castelbprgo Lambrusco Dell'enilia (біл. нап./сол.) 0,75л";24.00;136.20;3268.80;"Чуйкін Сергій 095 524 50 01, 067 934 76 96";"Вино";"sale"
"000000333";"ТОЛІМАН ПЛЮС ТОВ";2026-08-17;"РБН00008424";8.00;"м.Луцьк, вул. Карбишева, 1";"000000646";"45151";"Вино Vegan-friendly FERMO Bianco white still (безалк.біл.сухе) 0,75л";6.00;171.00;1026.00;"Чуйкін Сергій 095 524 50 01, 067 934 76 96";"Вино";"sale"
"000000333";"ТОЛІМАН ПЛЮС ТОВ";2026-08-17;"РБН00008424";4.00;"м.Луцьк, вул. Карбишева, 1";"000000349";"34185";"Вино Ігристе SL Malvasia IGT Emilia Spumante Dolce 0,75л";12.00;197.04;2364.48;"Чуйкін Сергій 095 524 50 01, 067 934 76 96";"Вино";"sale"
"000000333";"ТОЛІМАН ПЛЮС ТОВ";2026-08-17;"РБН00008424";3.00;"м.Луцьк, вул. Карбишева, 1";"000000054";"23761";"Напій Fragolino ігр. на основі вина біле 0,75л";18.00;130.80;2354.40;"Чуйкін Сергій 095 524 50 01, 067 934 76 96";"Вино";"sale"
"000000110";"ГЛУСКО РІТЕЙЛ ТОВ";2026-08-17;"РБН00008418";4.00;"ЗАПОРIЗЬКА ОБЛ., М. ЗАПОРІЖЖЯ ВОЗНЕСЕНIВСЬКИЙ Р-Н, вул. Перемоги, 74А";"000000630";"41295";"AUX кабель прямий. CJJ1-02BK";2.00;110.58;221.16;"Сільванович Олена Олександрівна 066-207-16-80";"Китай";"sale"
"000000110";"ГЛУСКО РІТЕЙЛ ТОВ";2026-08-17;"РБН00008418";9.00;"ЗАПОРIЗЬКА ОБЛ., М. ЗАПОРІЖЖЯ ВОЗНЕСЕНIВСЬКИЙ Р-Н, вул. Перемоги, 74А";"000001156";"46853";"Іграшка дитяча антистрес Печиво 24102314";1.00;68.58;68.58;"Сільванович Олена Олександрівна 066-207-16-80";"Китай";"sale"
"000000110";"ГЛУСКО РІТЕЙЛ ТОВ";2026-08-17;"РБН00008418";7.00;"ЗАПОРIЗЬКА ОБЛ., М. ЗАПОРІЖЖЯ ВОЗНЕСЕНIВСЬКИЙ Р-Н, вул. Перемоги, 74А";"000001164";"46977";"Іграшка Пригоди Піратів LC2273";1.00;69.48;69.48;"Сільванович Олена Олександрівна 066-207-16-80";"Китай";"sale"
"000000110";"ГЛУСКО РІТЕЙЛ ТОВ";2026-08-17;"РБН00008418";8.00;"ЗАПОРIЗЬКА ОБЛ., М. ЗАПОРІЖЖЯ ВОЗНЕСЕНIВСЬКИЙ Р-Н, вул. Перемоги, 74А";"000001053";"46412";"Кабель Rem. Лайтінг 1мCUL1-03BK";1.00;114.24;114.24;"Сільванович Олена Олександрівна 066-207-16-80";"Китай";"sale"
"000000110";"ГЛУСКО РІТЕЙЛ ТОВ";2026-08-17;"РБН00008418";6.00;"ЗАПОРIЗЬКА ОБЛ., М. ЗАПОРІЖЖЯ ВОЗНЕСЕНIВСЬКИЙ Р-Н, вул. Перемоги, 74А";"000000834";"44159";"Іграшка антистрес Динозавр в яйці";1.00;62.40;62.40;"Сільванович Олена Олександрівна 066-207-16-80";"Китай";"sale"
"000000110";"ГЛУСКО РІТЕЙЛ ТОВ";2026-08-17;"РБН00008418";2.00;"ЗАПОРIЗЬКА ОБЛ., М. ЗАПОРІЖЖЯ ВОЗНЕСЕНIВСЬКИЙ Р-Н, вул. Перемоги, 74А";"000000905";"45033";"Пластина для магнітного тримача Remzona 2шт MSH-01";2.00;29.76;59.52;"Сільванович Олена Олександрівна 066-207-16-80";"Китай";"sale"
"000000110";"ГЛУСКО РІТЕЙЛ ТОВ";2026-08-17;"РБН00008418";3.00;"ЗАПОРIЗЬКА ОБЛ., М. ЗАПОРІЖЖЯ ВОЗНЕСЕНIВСЬКИЙ Р-Н, вул. Перемоги, 74А";"000000908";"45036";"Мережевий заряд пристрій Remzona Giwell Acey 30W CHAC-03WT";2.00;296.40;592.80;"Сільванович Олена Олександрівна 066-207-16-80";"Китай";"sale"
"000000110";"ГЛУСКО РІТЕЙЛ ТОВ";2026-08-17;"РБН00008418";5.00;"ЗАПОРIЗЬКА ОБЛ., М. ЗАПОРІЖЖЯ ВОЗНЕСЕНIВСЬКИЙ Р-Н, вул. Перемоги, 74А";"000000912";"45035";"Бездротова зарядка Remzona Airchar 20W Matt Black WCH-01BK";2.00;422.82;845.64;"Сільванович Олена Олександрівна 066-207-16-80";"Китай";"sale"
"000000110";"ГЛУСКО РІТЕЙЛ ТОВ";2026-08-17;"РБН00008418";1.00;"ЗАПОРIЗЬКА ОБЛ., М. ЗАПОРІЖЖЯ ВОЗНЕСЕНIВСЬКИЙ Р-Н, вул. Перемоги, 74А";"000000950";"45245";"Автом магн тримач для тел-ну Remzona PHM-08BK";2.00;253.56;507.12;"Сільванович Олена Олександрівна 066-207-16-80";"Китай";"sale"
"000000121";"УКPНAФТА ПАТ";2026-08-17;"РБН00008430";2.00;"Черкаська обл. м. Черкаси, вул. Благовісна, 1/4";"000001055";"46414";"Кабель Rem. USB-C (Type-C) 1мCUC1-03BK";3.00;125.70;377.10;"";"Китай";"sale"
"000000121";"УКPНAФТА ПАТ";2026-08-17;"РБН00008430";3.00;"Черкаська обл. м. Черкаси, вул. Благовісна, 1/4";"000001058";"46417";"Кабель Rem. USB-C (Type-C) 2мCUC2-03BK";3.00;154.26;462.78;"";"Китай";"sale"
"000000121";"УКPНAФТА ПАТ";2026-08-17;"РБН00008430";4.00;"Черкаська обл. м. Черкаси, вул. Благовісна, 1/4";"000001400";"49959";"Брелок з іграшкою 7см MYK026";5.00;122.22;611.10;"";"Китай";"sale"
"000000121";"УКPНAФТА ПАТ";2026-08-17;"РБН00008430";1.00;"Черкаська обл. м. Черкаси, вул. Благовісна, 1/4";"000000598";"41264";"Автомобільний магнітний тримач для телефону PHM-04BK";3.00;160.02;480.06;"";"Китай";"sale"
"000000121";"УКPНAФТА ПАТ";2026-08-17;"РБН00008430";9.00;"Черкаська обл. м. Черкаси, вул. Благовісна, 1/4";"000001449";"50008";"Брелок з іграшкою 8см MYK075";5.00;133.14;665.70;"";"Китай";"sale"
"000000121";"УКPНAФТА ПАТ";2026-08-17;"РБН00008430";5.00;"Черкаська обл. м. Черкаси, вул. Благовісна, 1/4";"000001405";"49964";"Брелок з іграшкою 8см MYK031";5.00;110.88;554.40;"";"Китай";"sale"
"000000121";"УКPНAФТА ПАТ";2026-08-17;"РБН00008430";6.00;"Черкаська обл. м. Черкаси, вул. Благовісна, 1/4";"000001436";"49995";"Брелок з іграшкою 12см MYK062";5.00;210.72;1053.60;"";"Китай";"sale"
"000000121";"УКPНAФТА ПАТ";2026-08-17;"РБН00008430";7.00;"Черкаська обл. м. Черкаси, вул. Благовісна, 1/4";"000001440";"49999";"Брелок з іграшкою 14см MYK066";5.00;182.82;914.10;"";"Китай";"sale"
"000000121";"УКPНAФТА ПАТ";2026-08-17;"РБН00008430";8.00;"Черкаська обл. м. Черкаси, вул. Благовісна, 1/4";"000001444";"50003";"Брелок з іграшкою 5см MYK070";5.00;210.72;1053.60;"";"Китай";"sale"
"000000121";"УКPНAФТА ПАТ";2026-08-17;"РБН00008430";10.00;"Черкаська обл. м. Черкаси, вул. Благовісна, 1/4";"000001448";"50007";"Брелок з іграшкою 9см MYK074";5.00;177.60;888.00;"";"Китай";"sale"
